layer_idx,layer_name,filter_idx,sample_idx,iterations,learning_rate,tv_reg,l2_reg,activation_mode,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,100.0,100.0,post_relu_mean,3144.1767578125,-3144.1767578125,471.4222717285156,3.45223331451416,9.992751121520996,1179.8380432128906,0.13778794661860894,-0.46583411945528114,26.922418788739233,3.869918736219406,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,100.0,10.0,post_relu_mean,5606.83837890625,-5606.83837890625,856.8912353515625,6.95361328125,49.06906509399414,3325.5425720214844,0.31990678365223246,-3.126765123534827,180.5272814965827,5.278827760219574,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,100.0,1.0,post_relu_mean,5883.38330078125,-5883.38330078125,903.0195922851562,7.359966278076172,59.90589904785156,3937.115249633789,0.45096941879060487,-4.137619043869651,238.88271991073145,5.798820314407348,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,100.0,0.1,post_relu_mean,5907.88720703125,-5907.88720703125,903.2784423828125,7.388035774230957,61.1652717590332,4011.4429473876953,0.46832727050127215,-4.256400321995354,245.74034728435822,5.86491486787796,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,10.0,100.0,post_relu_mean,3490.187744140625,-3490.187744140625,529.5633544921875,5.672880172729492,12.678169250488281,1442.1348876953125,0.16031041028153822,-0.5189290106703349,30.006184911996186,3.8286474239826203,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,10.0,10.0,post_relu_mean,6202.17724609375,-6202.17724609375,993.5787963867188,12.331876754760742,59.79607391357422,4203.440002441406,0.342435715952278,-3.823113482011855,220.7360182871971,5.71560439825058,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,10.0,1.0,post_relu_mean,6469.5576171875,-6469.5576171875,1042.90869140625,13.302872657775879,72.26896667480469,4928.478729248047,0.48957238911872786,-5.031075374906833,290.46595750128415,6.342838230133057,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,10.0,0.1,post_relu_mean,6514.44287109375,-6514.44287109375,1048.818603515625,13.442586898803711,73.84078979492188,5030.042266845703,0.5158824347993726,-5.212716441202046,300.9528627229404,6.432622013092041,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,1.0,100.0,post_relu_mean,3563.751953125,-3563.751953125,541.290771484375,5.980112075805664,13.195541381835938,1498.43017578125,0.18017898514118247,-0.5416818159711809,31.32301069781342,3.845289818048477,False
51,source_localization_stage4.0.wave_feature_conv1,146,1,1000,0.01,1.0,10.0,post_relu_mean,6204.7724609375,-6204.7724609375,993.0490112304688,13.010465621948242,60.95573425292969,4300.724792480469,0.33850884336159515,-3.9299564683330948,226.9004154238297,5.750709674358368,False
