layer_idx,filter_idx,iterations,learning_rate,tv_reg,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
36,30,500,0.005,0.0,1413.2890625,-1413.2890625,515.9895629882812,0.0,719.3836059570312,0.22084793863539165,-1.5824992001153226,45.68056615656933,3.345155897140503,False
36,30,500,0.005,1e-05,1412.291259765625,-1412.291259765625,515.8160400390625,3.712421178817749,718.5592651367188,0.218245838074409,-1.582952581268868,45.69369538142386,3.339131271839142,False
36,30,500,0.005,0.0001,1413.095458984375,-1413.095458984375,516.028564453125,3.7167065143585205,719.1506805419922,0.21960379321599177,-1.5819508330227534,45.66477041326559,3.342093172073364,False
36,30,500,0.005,0.0005,1412.833740234375,-1412.833740234375,515.891357421875,3.7138233184814453,719.02490234375,0.22024622674302788,-1.5801757479214706,45.613542338888315,3.344132854938507,False
36,30,500,0.01,0.0,2663.100830078125,-2663.100830078125,971.9578247070312,0.0,1513.2271728515625,0.2569848265388932,-3.279349201521711,94.6619407960425,3.5277099800109863,False
36,30,500,0.01,1e-05,2663.1787109375,-2663.1787109375,972.11083984375,7.319825649261475,1513.15185546875,0.2569363734630248,-3.279438220921699,94.66450956475988,3.5276660180091857,False
36,30,500,0.01,0.0001,2664.914306640625,-2664.914306640625,972.626220703125,7.331485271453857,1514.3715057373047,0.2582612371287087,-3.277131095677923,94.59795935679074,3.5323054146766664,False
36,30,500,0.01,0.0005,2662.72509765625,-2662.72509765625,971.9844970703125,7.325075626373291,1512.8212890625,0.2562228859068265,-3.274048493960721,94.50893435001383,3.524092791080475,False
36,30,500,0.02,0.0,5247.0556640625,-5247.0556640625,1918.3701171875,0.0,3150.7696533203125,0.27578892943638994,-6.71746273211305,193.90676316067666,3.691337432861328,False
36,30,500,0.02,1e-05,5248.0498046875,-5248.0498046875,1918.8565673828125,14.79248046875,3151.2772216796875,0.27592667589967895,-6.709617319642115,193.68029356507515,3.690776755809784,False
36,30,500,0.02,0.0001,5246.50244140625,-5246.50244140625,1918.168701171875,14.771844863891602,3150.4164276123047,0.276195455847589,-6.720243024302424,193.98701544985147,3.6908276295661926,False
36,30,500,0.02,0.0005,5243.7841796875,-5243.7841796875,1916.8948974609375,14.729028701782227,3148.9661865234375,0.27610746373536105,-6.68693521256422,193.02557130558927,3.689796392917633,False
36,30,1000,0.005,0.0,2686.666748046875,-2686.666748046875,980.4927368164062,0.0,1528.2581787109375,0.26117956414917365,-1.6335787067476282,47.1550300559685,3.574341366291046,False
36,30,1000,0.005,1e-05,2687.759765625,-2687.759765625,981.4797973632812,7.377666473388672,1528.364013671875,0.2618436487437122,-1.6287424421153067,47.01539515345247,3.5768159008026124,False
36,30,1000,0.005,0.0001,2689.41650390625,-2689.41650390625,981.8425903320312,7.394030570983887,1529.6573944091797,0.26176317063028953,-1.6320296538931247,47.110308557222936,3.575986750125885,False
36,30,1000,0.005,0.0005,2683.29150390625,-2683.29150390625,979.59228515625,7.375739574432373,1525.7799072265625,0.2599979933799907,-1.62435393930018,46.888741678216924,3.573781955242157,False
36,30,1000,0.01,0.0,5261.41552734375,-5261.41552734375,1922.0281982421875,0.0,3161.4713134765625,0.27027017991602265,-3.3003862505391215,95.26921230328007,3.712869746685028,False
36,30,1000,0.01,1e-05,5260.322265625,-5260.322265625,1921.59912109375,14.752531051635742,3160.8070068359375,0.272426663326727,-3.293283410860618,95.06416396056888,3.7175907111167907,False
36,30,1000,0.01,0.0001,5264.9267578125,-5264.9267578125,1923.230224609375,14.781709671020508,3163.7792205810547,0.27113424551042586,-3.3091886825401304,95.52330400161033,3.714117386341095,False
36,30,1000,0.01,0.0005,5263.35546875,-5263.35546875,1922.5679931640625,14.79171371459961,3162.8646240234375,0.26958872327316113,-3.3086660663136644,95.50819930544978,3.7072626399993895,False
36,30,1000,0.02,0.0,10547.51953125,-10547.51953125,3857.405517578125,0.0,6512.1983642578125,0.2653175713142509,-6.71567079559519,193.8550328468605,3.834573600292206,False
36,30,1000,0.02,1e-05,10539.7529296875,-10539.7529296875,3854.7939453125,29.769977569580078,6507.0426025390625,0.26361294792030393,-6.69450588222886,193.244103400553,3.8326202821731568,False
36,30,1000,0.02,0.0001,10547.6630859375,-10547.6630859375,3856.93505859375,29.752750396728516,6512.80924987793,0.26294443687465524,-6.712905828668805,193.77530832580183,3.8286915159225465,False
36,30,1000,0.02,0.0005,10530.2392578125,-10530.2392578125,3851.80712890625,29.724817276000977,6500.5018310546875,0.2626123437678615,-6.7244884722847305,194.10963857995932,3.830015153884888,False
