layer_idx,filter_idx,iterations,learning_rate,tv_reg,l2_reg,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
36,30,500,0.005,0.0,0.0,1413.2890625,-1413.2890625,515.9895629882812,0.0,0.0,719.3836059570312,0.22084793863539165,-1.5656963305186147,90.39617542626064,3.30233021736145,False
36,30,500,0.005,0.0,1e-06,1413.2900390625,-1413.2900390625,516.0731811523438,0.0,7.494312763214111,719.3009643554688,0.2208386126334428,-1.5657772388370992,90.40065986753032,3.302276986837387,False
36,30,500,0.005,0.0,1e-05,1412.584716796875,-1412.584716796875,515.9312133789062,0.0,7.498110771179199,718.7375640869141,0.21838590768368346,-1.562686079496348,90.22236511952663,3.2957363390922545,False
36,30,500,0.005,0.0,0.0001,1413.6011962890625,-1413.6011962890625,516.232666015625,0.0,7.4940714836120605,719.4520111083984,0.22091570032477792,-1.5666321917752535,90.44999160091989,3.3023952662944795,False
36,30,500,0.005,1e-05,0.0,1412.291259765625,-1412.291259765625,515.8160400390625,3.712421178817749,0.0,718.5592651367188,0.218245838074409,-1.5624831961283652,90.21141413939692,3.2952771472930906,False
36,30,500,0.005,1e-05,1e-06,1413.66748046875,-1413.66748046875,516.298828125,3.7147202491760254,7.497882843017578,719.4526977539062,0.21957379698519777,-1.566244163733488,90.42785034297167,3.2981893682479857,False
36,30,500,0.005,1e-05,1e-05,1411.698974609375,-1411.698974609375,515.4703979492188,3.7137722969055176,7.501341819763184,718.3125762939453,0.2189228794332243,-1.5607758788330057,90.11188368265923,3.296649698019028,False
36,30,500,0.005,1e-05,0.0001,1412.1727294921875,-1412.1727294921875,515.6620483398438,3.7133588790893555,7.499521255493164,718.5941009521484,0.2190325933914947,-1.5619157607541265,90.17789628031534,3.2972897160053254,False
36,30,500,0.005,0.0001,0.0,1413.095458984375,-1413.095458984375,516.028564453125,3.7167065143585205,0.0,719.1506805419922,0.21960379321599177,-1.5648225268131704,90.34570106673026,3.299629321098328,False
36,30,500,0.005,0.0001,1e-06,1412.4149169921875,-1412.4149169921875,515.7072143554688,3.714012622833252,7.496521472930908,718.7914886474609,0.219947784481711,-1.562854490658531,90.23226722867543,3.29971897482872,False
36,30,500,0.005,0.0001,1e-05,1412.44140625,-1412.44140625,515.78369140625,3.7191455364227295,7.501440525054932,718.741455078125,0.21859952322934245,-1.5624858344236925,90.21094095970398,3.295449204444885,False
36,30,500,0.005,0.0001,0.0001,1411.5703125,-1411.5703125,515.4390869140625,3.7103724479675293,7.502734184265137,718.2143859863281,0.21873277076735184,-1.5595410419012916,90.04078729209172,3.2966024708747863,False
