layer_idx,layer_name,filter_idx,sample_idx,iterations,learning_rate,tv_reg,l2_reg,activation_mode,final_activation,final_target_loss,final_suppression_loss,final_tv_loss,final_l2_loss,loss_reduction,grad_variation,loss_slope_lastk,loss_std_lastk,grad_mean_lastk,converged
36,interference_stage3.0.wave_feature_conv1,30,1,500,0.008,150.0,30.0,post_relu_mean,2.6487207412719727,-2.6487207412719727,0.22370654344558716,0.018413115292787552,0.0014349296689033508,539.1961762905121,1.1874824682441,-0.13561659516875493,8.02276347291414,2.822143201828003,False
36,interference_stage3.0.wave_feature_conv1,78,1,500,0.008,150.0,30.0,post_relu_mean,2.309593915939331,-2.309593915939331,0.17606882750988007,0.01787860319018364,0.0010437011951580644,578.7570955753326,1.3499859155171074,-0.1431968593643905,8.468918902549042,2.815569055080414,False
36,interference_stage3.0.wave_feature_conv1,38,1,500,0.008,150.0,30.0,post_relu_mean,1.9446529150009155,-1.9446529150009155,0.19961532950401306,0.0184440016746521,0.0017350602429360151,630.7686727046967,1.5475909941978037,-0.1535190456338953,9.091608947701387,2.8769344520568847,False
36,interference_stage3.0.wave_feature_conv1,2,1,500,0.008,150.0,30.0,post_relu_mean,1.5855708122253418,-1.5855708122253418,0.18813137710094452,0.017991311848163605,0.001190699404105544,631.9430615901947,1.4929698207380764,-0.150423209774318,8.895796770725546,2.9794920301437378,False
36,interference_stage3.0.wave_feature_conv1,49,1,500,0.008,150.0,30.0,post_relu_mean,2.126354932785034,-2.126354932785034,0.1774623841047287,0.016061745584011078,0.0011080317199230194,638.1662032604218,1.540297763281009,-0.1538274060904662,9.119891622279793,2.9304480075836183,False
38,interference_stage3.0.wave_feature_conv2,34,1,500,0.008,150.0,30.0,post_relu_mean,0.7401875257492065,-0.7401875257492065,0.0751870647072792,0.010147560387849808,0.0017644232138991356,415.23100984096527,0.7283873888226567,-0.1292748510484388,7.679676544954619,2.9063266146183016,False
38,interference_stage3.0.wave_feature_conv2,52,1,500,0.008,150.0,30.0,post_relu_mean,0.3238755166530609,-0.3238755166530609,0.0655270516872406,0.010232983157038689,0.0013342252932488918,426.61331605911255,0.7701933030669932,-0.12920937604667418,7.677399791135059,2.8710027706623076,False
38,interference_stage3.0.wave_feature_conv2,17,1,500,0.008,150.0,30.0,post_relu_mean,0.3230285942554474,-0.3230285942554474,0.07085700333118439,0.011180846020579338,0.0017805583775043488,429.0599949359894,0.8054054412989959,-0.13272135735434312,7.872744915158403,2.86719331741333,False
38,interference_stage3.0.wave_feature_conv2,103,1,500,0.008,150.0,30.0,post_relu_mean,0.3985331952571869,-0.3985331952571869,0.07523391395807266,0.011072796769440174,0.002110846806317568,435.434298992157,0.8218443585402094,-0.13513767872426755,8.008153206104364,2.9009505891799927,False
38,interference_stage3.0.wave_feature_conv2,68,1,500,0.008,150.0,30.0,post_relu_mean,0.447579562664032,-0.447579562664032,0.07308414578437805,0.010735860094428062,0.0015465940814465284,452.0631012916565,0.838248282938222,-0.1329613926034619,7.929484879431719,2.9896144223213197,False
